YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1978,-2.78,-3.55,1.50,8.52,14.36,19.83,21.97,21.71,16.06,11.09,6.12,1.53,-1.97,8.13,21.17,11.09,9.61
1979,-0.04,-5.24,5.52,8.98,15.90,19.81,23.33,21.75,17.99,11.17,8.92,2.28,-1.25,10.13,21.63,12.69,10.80
1980,-1.73,-2.62,2.39,8.99,14.92,18.77,24.04,23.13,19.11,11.01,4.83,-2.19,-0.69,8.77,21.98,11.65,10.43
1981,-6.17,2.14,3.63,10.63,15.49,21.19,23.34,21.93,17.27,10.35,6.28,0.34,-2.07,9.92,22.15,11.30,10.32
1982,-5.37,-0.96,3.37,8.66,14.02,17.08,23.48,20.95,17.49,12.00,8.37,3.86,-2.00,8.68,20.50,12.62,9.95
1983,-0.75,0.12,4.45,9.17,14.21,21.20,25.22,22.81,21.12,12.54,7.49,-0.26,1.08,9.28,23.08,13.72,11.79
1984,-3.30,2.76,-0.42,7.48,14.12,21.04,23.38,23.33,16.38,11.48,6.64,3.84,-0.27,7.06,22.58,11.50,10.22
1985,-4.60,0.09,4.30,9.46,15.03,18.13,22.95,21.20,18.44,12.88,7.35,-0.50,-0.22,9.60,20.76,12.89,10.76
1986,-0.45,-1.87,4.71,8.98,14.56,18.81,21.54,21.27,17.24,12.09,5.59,1.85,-0.94,9.42,20.54,11.64,10.16
1987,-1.83,-1.71,3.48,7.15,13.86,18.30,21.92,21.15,18.43,12.25,6.46,2.15,-0.56,8.16,20.46,12.38,10.11
1988,-2.47,-0.05,3.85,8.10,14.10,20.16,23.03,24.03,17.98,10.33,8.02,0.30,-0.12,8.68,22.41,12.11,10.77
1989,1.27,-0.94,2.80,7.62,15.06,19.79,22.51,21.87,18.02,12.79,5.83,-5.86,0.21,8.49,21.39,12.21,10.58
1990,2.29,1.05,4.38,8.55,12.58,19.06,22.70,22.80,17.97,14.47,9.05,4.70,-0.84,8.50,21.52,13.83,10.75
1991,-1.59,2.10,5.15,10.57,17.22,20.95,23.50,23.04,17.45,13.38,7.18,2.01,1.74,10.98,22.50,12.67,11.97
1992,-0.71,0.06,1.72,7.81,12.91,19.69,20.65,21.15,17.56,11.01,5.69,1.23,0.45,7.48,20.50,11.42,9.96
1993,-0.10,-3.05,2.11,8.73,15.39,20.46,23.39,22.75,17.88,10.94,7.23,0.88,-0.64,8.74,22.20,12.02,10.58
1994,-5.77,-3.16,3.06,10.43,14.31,21.80,24.91,22.11,17.54,12.70,9.07,3.26,-2.68,9.27,22.94,13.10,10.66
1995,1.07,-2.33,3.42,7.44,13.65,19.98,24.01,22.30,16.93,14.28,5.13,-0.53,0.67,8.17,22.10,12.11,10.76
1996,-1.40,-0.96,2.16,9.06,14.29,20.26,22.34,21.81,18.05,12.00,4.81,4.21,-0.96,8.50,21.47,11.62,10.16
